Model,Target,RMSE,R2
LSTM_Baseline,BTC_0d,19190.71677078745,-18.803182986940378
LSTM_Baseline,BTC_1d,26420.139843390123,-35.12609925454258
LSTM_Baseline,BTC_7d,22951.20165513494,-18.521334702073858
LSTM_Baseline,BTC_14d,30839.45561384353,-27.451119959888146
LSTM_Baseline,BTC_28d,22261.558251083185,-10.631782981167918
LSTM_Configuration 1,BTC_0d,30377.56829244776,-48.62021257778659
LSTM_Configuration 1,BTC_1d,59657.139234632596,-183.19409106655473
LSTM_Configuration 1,BTC_7d,12715.011949856653,-4.991453532256047
LSTM_Configuration 1,BTC_14d,12708.602008406791,-3.83149482752553
LSTM_Configuration 1,BTC_28d,11919.409512604114,-2.334606955283143
LSTM_Configuration 2,BTC_0d,30523.564597524062,-49.09831379005187
LSTM_Configuration 2,BTC_1d,30617.974537577018,-47.518097380592074
LSTM_Configuration 2,BTC_7d,31392.536470215317,-35.521740388822955
LSTM_Configuration 2,BTC_14d,32194.087062868883,-30.00546070422414
LSTM_Configuration 2,BTC_28d,33951.81785686332,-26.055853232663374
LSTM_Configuration 3,BTC_0d,16012.371796645757,-12.786814742625907
LSTM_Configuration 3,BTC_1d,29423.967356597062,-43.80776757304692
LSTM_Configuration 3,BTC_7d,11674.71441642705,-4.0511606541103395
LSTM_Configuration 3,BTC_14d,18976.95223066238,-9.77305530119208
LSTM_Configuration 3,BTC_28d,20147.169095578232,-8.527155038251173
